hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
0,0,315,-124.00534445387893,38.395195207733195,132.48861694335938,-124.05257,38.31634,132.48862,6.928289890289307,-2.8427340984344482,335650819,0.09191217158499282,436.0,-126.25316462800001,28.8164609473,135.45,[436],981.0,690.0,985.1493704173278,691.9128069648434
1,0,875,-109.61156400133041,64.78993479534256,129.6953125,-110.09959,64.008385,129.69531,6.942004680633545,-2.609128475189209,335642627,0.9214046291914925,404.0,-114.423046224,55.1032348679,135.45,[404],958.0,774.0,989.4679970977023,794.4592889067837
2,0,780,-17.59838367498014,126.18883966300564,127.81614685058594,-18.251888,126.067856,127.81615,7.048604965209961,-1.7107189893722534,335609859,0.664609170179679,276.0,-28.2601586125,123.815844847,135.45,[276],692.0,1002.0,696.9197926402256,1028.4709975007945
3,0,130,94.12227536491991,-89.70785066507233,128.06207275390625,93.959656,-89.829666,128.06207,7.179455280303955,0.7600308656692505,335749123,0.20318500120743485,820.0,101.24717697999999,-80.7419293407,135.45,"[788, 820]",238.0,310.0,243.36314702510663,317.0039353967968
4,0,442,127.70182882087101,21.74654629523866,126.87427520751955,127.65927,22.514332,126.874275,7.219650745391846,-0.1700192391872406,335552515,0.7689640798234402,52.0,126.25316462800001,28.8164609473,135.45,[52],349.0,658.0,319.2034139175463,659.9465677148402
5,0,173,-54.44215978077409,117.44032337361205,130.6361846923828,-54.987816,117.21846,130.63618,7.006629467010498,-2.006265640258789,335618051,0.5890363937546843,308.0,-56.1879442157,116.675468393,135.45,[308],623.0,650.0,632.5941992244816,671.8313773970362
6,0,668,-49.08764447384601,120.1355918054469,130.85391235351562,-48.46547,120.35945,130.85391,7.012894630432129,-1.960084080696106,335618051,0.6612223093957171,308.0,-56.1879442157,116.675468393,135.45,[308],749.0,910.0,740.4049364978755,886.0119896741594
7,0,852,-50.741057333485514,-119.25093284754985,130.70191955566406,-50.313606,-119.46944,130.70192,7.011305332183838,1.9717025756835938,335699971,0.4800607545500652,628.0,-56.1879442157,-116.675468393,135.45,[628],490.0,836.0,498.9814218180061,819.8754752885793
8,0,178,-100.73324205555764,81.27259150562168,131.6092071533203,-100.5995,81.50356,131.6092,6.954047679901123,-2.464108943939209,335634435,0.26689707632214477,372.0,-101.24717697999999,80.7419293407,135.45,[372],632.0,627.0,623.2264865968671,622.557396977694
9,0,697,127.08386485893425,25.023557449079817,126.87120056152344,127.13572,24.80816,126.8712,7.218926429748535,-0.19576433300971985,335552515,0.2215504620545847,52.0,126.25316462800001,28.8164609473,135.45,[52],441.0,637.0,450.28386007119263,635.2280092373695
